Gen,LR,pvalue,DNA_tamura-nei-D,prot_pdistance,ensmbl_CporID,gene_name
cluster13881,0,1,-0.001325495,0,ENSCPOP00000007586,KLHL21
cluster11542,104.650168,0,0.241495039,0.24,ENSCPOP00000016379,MEOX2
cluster13189,0,1,-0.004106723,-0.011363636,ENSCPOP00000012430,S100A14
cluster10720,0,1,0.008938733,0,ENSCPOP00000019379,HOXD9
cluster11301,0,1,0.006121948,0,ENSCPOP00000019531,PSMB11
cluster12661,0,1,-0.00420922,0.005747126,ENSCPOP00000011338,ARL6IP1
cluster14444,8.519996,0.003512653,0.06881013,0.096491228,ENSCPOP00000013543,SETD9
cluster10819,7.285058,0.006953049,-0.067318595,-0.057788945,ENSCPOP00000006253,ANKLE1
cluster14931,-0.008174,1,-0.012088195,-0.011869436,ENSCPOP00000000018,OMG
cluster14663,114.967118,0,0.166265388,0.155688623,ENSCPOP00000020462,ADAMTSL5
cluster11255,0,1,0.002936066,0.00660066,ENSCPOP00000001854,MYADML2
cluster10838,22.915448,1.69E-06,0.013998979,-0.0078125,ENSCPOP00000006919,GGH
cluster14016,0,1,-0.01374619,0,ENSCPOP00000012324,GPT2
cluster14860,397.76569,0,0.079805243,0.074927954,ENSCPOP00000000387,FILIP1L
cluster14354,0,1,0.009097838,0,ENSCPOP00000013654,RPS11
cluster14707,0,1,-0.00832721,-0.01607717,ENSCPOP00000006538,PON2
cluster13605,0,1,-0.008900417,-0.017482517,ENSCPOP00000012669,REST
cluster12082,9.511874,0.002041466,0.01240622,0.025641026,ENSCPOP00000002724,EAPP
cluster11005,0,1,0.009336639,0.004739336,ENSCPOP00000001240,KDELC1
cluster14717,0,1,-0.009526638,-0.009478673,ENSCPOP00000012448,ASPHD1
cluster14560,21.705504,3.18E-06,0.00121512,0,ENSCPOP00000012171,MR1
cluster12312,0.218178,0.640431711,-0.021931919,-0.024193548,ENSCPOP00000009393,CXorf67
cluster12354,48.78273,2.86E-12,-0.0005221,-0.003894839,ENSCPOP00000003826,WDR19
cluster12587,9.321824,0.002264405,0.005374516,0.010344828,ENSCPOP00000009459,MYLK2
cluster13584,1.96398,0.161088303,-0.024873412,-0.02774427,ENSCPOP00000012066,SIK2
cluster12900,1.987136,0.158640658,-0.016271716,-0.033519553,ENSCPOP00000004692,AQP8
cluster13830,47.841674,4.62E-12,0.036107339,0.0562249,ENSCPOP00000003228,0
cluster11997,0,1,-0.011949267,-0.024691358,ENSCPOP00000000230,GINS1
cluster15037,0,1,-0.001182772,-0.00462963,ENSCPOP00000012572,CLPP
cluster10779,0.006092,0.937787274,0.001065857,0.014792899,ENSCPOP00000005894,AHSA1
cluster12586,47.151532,6.57E-12,0.068146276,0.106164384,ENSCPOP00000020019,FADS6
cluster11766,0,1,0.023621697,0.003012048,ENSCPOP00000020677,TNIP2
cluster12457,2.07303,0.149923405,-0.000282718,0.009569378,ENSCPOP00000002288,HPRT1
cluster10843,58.739642,1.80E-14,0.015790733,0.025132275,ENSCPOP00000002877,PGAP1
cluster11306,0,1,-0.007762253,-0.006134969,ENSCPOP00000005609,TMEM120A
cluster13237,0,1,-0.065131806,-0.069343066,ENSCPOP00000018850,SERPINE3
cluster12394,0.641256,0.423256347,0.008796095,0.024930748,ENSCPOP00000017428,ACTRT1
cluster12205,0,1,0.00723505,0.015209125,ENSCPOP00000012924,HS3ST6
cluster11353,-0.00304,1,-0.029567914,-0.011494253,ENSCPOP00000013117,GCSAML
cluster10916,0,1,0.008750953,0,ENSCPOP00000020816,WDR83OS
cluster14494,0.107634,0.742854041,-0.011658073,-0.004504505,ENSCPOP00000004932,TP53RK
cluster10392,0,1,-0.055354238,-0.052752294,ENSCPOP00000015743,PRDM14
cluster13399,0,1,-0.004454917,0,ENSCPOP00000015857,PLPP6
cluster12790,0,1,-0.01144614,-0.014705882,ENSCPOP00000010714,TEFM
cluster12268,4.303806,0.03802718,-0.003123748,-0.009930487,ENSCPOP00000004300,0
cluster12877,4.605346,0.031872421,0.026325116,0.063829787,ENSCPOP00000008658,RABL3
cluster13529,-0.001232,1,-0.001790403,0,ENSCPOP00000011987,SDF2
cluster10571,0,1,0.00960741,0.012077295,ENSCPOP00000020096,NOC4L
cluster14419,0,1,-0.007399491,-0.009244992,ENSCPOP00000003612,SLC20A1
cluster14106,0.96005,0.327174281,-0.004285724,-0.015873016,ENSCPOP00000017444,THEM6
cluster14451,0,1,-0.004524175,0.004056795,ENSCPOP00000015326,GDF5
cluster11920,46.724234,8.17E-12,0.014410084,0.017766497,ENSCPOP00000012440,PIGU
cluster14996,0,1,0.000675199,-0.003663004,ENSCPOP00000020650,NEFM
cluster11808,68.079624,1.11E-16,0.014704391,0.021691974,ENSCPOP00000010382,C16orf58
cluster14484,18.392232,1.80E-05,0.001803343,0.00872093,ENSCPOP00000005215,ISL1
cluster14285,0,1,-0.056727982,-0.066312997,ENSCPOP00000010354,ANKMY2
cluster13464,0,1,-0.008999187,-0.014925373,ENSCPOP00000001282,IFITM5
cluster11130,12.590338,0.000387746,0.15590301,0.141304348,ENSCPOP00000017951,ACKR1
cluster12574,0,1,-0.028327302,-0.023121387,ENSCPOP00000002438,0
cluster13699,1.683722,0.19443062,-0.004826065,0.003322259,ENSCPOP00000001493,DUSP6
cluster12914,33.623066,6.69E-09,0.031183215,0.006756757,ENSCPOP00000016186,ADI1
cluster10360,0,1,-0.005636535,0,ENSCPOP00000010461,RPL3L
cluster12625,0,1,-0.011345354,0,ENSCPOP00000005024,RPL10A
cluster10173,27.524244,1.55E-07,-0.050667333,-0.058823529,ENSCPOP00000004573,UBE2H
cluster13334,0,1,-0.138802115,-0.170909091,ENSCPOP00000007845,RFC3
cluster12929,0,1,-0.140138504,-0.138888889,ENSCPOP00000008131,PPP1R1B
cluster11386,0,1,-0.006605195,0.008215962,ENSCPOP00000000960,CBL
cluster13711,0,1,-0.015554663,-0.014981273,ENSCPOP00000010219,HOXA11
cluster10912,0,1,-0.009938053,-0.00621118,ENSCPOP00000003510,FAM102A
cluster11713,0,1,-0.489456519,0,ENSCPOP00000014148,0
cluster10816,0.204658,0.650987024,0.006985359,0.015151515,ENSCPOP00000008864,0
cluster11103,0,1,-0.002669955,0,ENSCPOP00000013837,0
cluster12593,81.857806,0,0.08126739,0.093484419,ENSCPOP00000014235,EMILIN2
cluster13380,0,1,-0.005204408,0,ENSCPOP00000001608,0
cluster12850,1.157222,0.282042419,0.006748399,-0.004255319,ENSCPOP00000001708,MCL1
cluster11793,0,1,0.0353223,0.024271845,ENSCPOP00000004258,MSC
cluster12225,26.588564,2.52E-07,0.013111043,0.007604563,ENSCPOP00000007774,PDGFRL
cluster14936,53.340978,2.80E-13,0.017108439,0.041176471,ENSCPOP00000008950,FBXO32
cluster13125,53.93278,2.08E-13,0.041771321,0.037735849,ENSCPOP00000008444,DIMT1
cluster10504,28.256376,1.06E-07,0.063604893,0.044444444,ENSCPOP00000012526,SYCE1L
cluster11930,41.905014,9.58E-11,0.019826226,0.030092593,ENSCPOP00000007781,ASIC5
cluster13880,66.318794,3.33E-16,0.103711029,0.113475177,ENSCPOP00000020903,0
cluster13838,0,1,-0.005093132,-0.002040816,ENSCPOP00000012332,OSGIN2
cluster12563,0,1,-0.015396286,-0.025,ENSCPOP00000012736,COX7A1
cluster11151,0,1,0.001509022,0,ENSCPOP00000021254,SOX14
cluster11714,0,1,0.010800876,0.010869565,ENSCPOP00000007647,TOB1
cluster15066,1.002394,0.316731923,0.003909757,0.018957346,ENSCPOP00000014726,ZDHHC24
cluster13882,10.819692,0.001004262,0.158443738,0.15625,ENSCPOP00000008021,DIRC2
cluster10924,0,1,-0.00831392,0.005555556,ENSCPOP00000005666,PPP1R7
cluster10824,38.78325,4.74E-10,0.027300226,0.024615385,ENSCPOP00000003219,IRF4
cluster12341,46.24222,1.05E-11,0.124061691,0.146496815,ENSCPOP00000002343,Selenot
cluster12909,0.645242,0.421818943,0.040841439,0.038216561,ENSCPOP00000019821,ARRDC5
cluster14282,2.702118,0.100215035,0.00770959,0.003752345,ENSCPOP00000004220,C2orf71
cluster12672,0,1,-0.005617295,-0.002770083,ENSCPOP00000001098,Tgfb1
cluster12385,74.251776,0,0.046538617,0.04964539,ENSCPOP00000003765,TFAP4
cluster11262,112.142802,0,0.033989949,0.035472973,ENSCPOP00000018380,0
cluster13887,9.225648,0.002386482,-0.012700316,0.008733624,ENSCPOP00000003535,COA7
cluster12435,8.67796,0.003220813,0.041131386,0.047169811,ENSCPOP00000019016,Ins
cluster12916,30.716838,2.99E-08,0.009198808,0.006711409,ENSCPOP00000005762,C6orf62
cluster12274,0,1,-0.005540938,0,ENSCPOP00000007597,PAQR4
cluster10153,0,1,9.17E-05,0,ENSCPOP00000002207,PSMC1
cluster10606,7.00E-05,0.993324497,0.017139588,0,ENSCPOP00000001361,0
cluster12623,0,1,0.003174314,-0.010178117,ENSCPOP00000017812,ZBTB42
cluster11814,0,1,-0.004999801,0,ENSCPOP00000008066,SMC3
cluster10993,0,1,0.007812085,0.011075949,ENSCPOP00000001976,ASB2
cluster13468,0,1,0.005505281,-0.007575758,ENSCPOP00000016758,0
cluster10208,0,1,0.004794944,0.01369863,ENSCPOP00000007109,0
cluster14539,0,1,0.002131337,0.002915452,ENSCPOP00000012174,CCNG2
cluster11784,0,1,-0.001794772,-0.003039514,ENSCPOP00000000708,CALR
cluster10848,103.548638,0,0.045610365,0.053459119,ENSCPOP00000003018,PANK3
cluster13376,0,1,0.01419843,0.0125,ENSCPOP00000013486,PTHLH
cluster10279,0.028774,0.865301909,-0.049614002,-0.02739726,ENSCPOP00000008841,GAST
cluster11728,0,1,0.006464367,0,ENSCPOP00000009652,RAB39B
cluster14741,0,1,0.005120965,0,ENSCPOP00000009045,CREB3L1
cluster14622,0,1,-0.017192782,-0.01754386,ENSCPOP00000005519,0
cluster14038,0,1,0.00409767,0.007434944,ENSCPOP00000009655,MDH1
cluster10514,0,1,#N/A,#N/A,ENSCPOP00000018322,0
cluster14134,0,1,0.007008544,0.01758794,ENSCPOP00000000983,0
cluster15051,0.837134,0.360217737,0.011205219,0.013888889,ENSCPOP00000017654,GMPPB
cluster10199,0,1,-0.018157136,-0.011583012,ENSCPOP00000006052,MRPL15
cluster11219,0,1,-0.004811015,-0.004854369,ENSCPOP00000001132,BLVRB
cluster10960,0.21464,0.643154675,-0.01614923,0.002932551,ENSCPOP00000005601,SKI
cluster14792,89.615564,0,0.047400457,0.059405941,ENSCPOP00000013499,PLBD1
cluster13290,0,1,0.030080173,0.032608696,ENSCPOP00000018860,C5orf49
cluster11774,0,1,-0.005848007,-0.002178649,ENSCPOP00000009244,ARMC5
cluster13709,0,1,-0.037952329,-0.04494382,ENSCPOP00000017591,UBE2Z
cluster11790,0,1,0.00463924,0.003913894,ENSCPOP00000005814,CYP26B1
cluster12375,0,1,-0.004569831,0.010781671,ENSCPOP00000016995,MCAT
cluster10247,0,1,-0.029072942,-0.012987013,ENSCPOP00000020053,0
cluster10290,54.64374,1.44E-13,0.1426718,0.160377358,ENSCPOP00000009023,GLO1
cluster11359,0,1,-0.00084472,0.015151515,ENSCPOP00000004096,CCL22
cluster15061,41.071146,1.47E-10,0.020007625,0.04664723,ENSCPOP00000008277,PRMT9
cluster12810,81.84478,0,0.009337938,0.021568627,ENSCPOP00000005046,CBX2
cluster13621,33.125924,8.64E-09,-0.031901829,-0.031518625,ENSCPOP00000015112,SART1
cluster12493,0,1,-0.014781795,-0.010344828,ENSCPOP00000006692,TAS2R16
cluster14977,0.165814,0.683859154,-0.033186978,-0.032414911,ENSCPOP00000013381,LRIF1
cluster10176,0,1,0.016144997,0.015873016,ENSCPOP00000006861,SLC9A2
cluster13326,2.008104,0.156460749,-0.015276132,0.007692308,ENSCPOP00000008739,HSD17B7
cluster11056,0,1,0.005302877,0.004975124,ENSCPOP00000014283,41337
cluster12543,12.539512,0.000398436,-0.036035156,-0.034013605,ENSCPOP00000011003,RAB31
cluster13540,-1.80E-05,1,-0.020780045,-0.024691358,ENSCPOP00000011072,HLA-DRA
cluster11387,0,1,0.018464746,-0.008849558,ENSCPOP00000017287,HRG
cluster14277,40.863032,1.63E-10,0.002991912,0.013533835,ENSCPOP00000006727,LRRC9
cluster10585,0,1,0.012344985,0,ENSCPOP00000004191,BHLHE22
cluster14545,15.13726,1.00E-04,-0.002497871,-0.010695187,ENSCPOP00000005954,GPX3
cluster10679,0,1,6.08E-05,0,ENSCPOP00000010786,TMEM234
cluster12684,7.309376,0.006859574,0.005190012,0.016666667,ENSCPOP00000007063,0
cluster13024,10.912168,0.000955347,0.018923817,0.028571429,ENSCPOP00000004456,ASB7
cluster13124,0,1,-0.00868521,-0.013157895,ENSCPOP00000020669,SERPINB11
cluster11188,71.959078,0,0.040497882,0.060869565,ENSCPOP00000000174,0
cluster11038,0,1,-0.001169118,0,ENSCPOP00000003918,CYB5R1
cluster12061,98.385572,0,0.031004729,0.028508772,ENSCPOP00000014451,0
cluster14630,0,1,0.017301428,0.003095975,ENSCPOP00000015696,DAZAP1
cluster12033,40.295388,2.18E-10,0.041535288,0.02734375,ENSCPOP00000004320,CAPN13
cluster10196,0,1,0.003300397,0.005319149,ENSCPOP00000013341,TMEM102
cluster13558,128.358522,0,0.091380847,0.118380062,ENSCPOP00000020782,IMPAD1
cluster11008,20.53999,5.84E-06,-0.002891631,0.013824885,ENSCPOP00000011052,APOH
cluster11119,0,1,-0.005618301,-0.007575758,ENSCPOP00000005664,SNRNP25
cluster10528,2.490558,0.114531112,0.004290931,0,ENSCPOP00000016056,LRG1
cluster13435,0,1,-0.022037094,-0.017301038,ENSCPOP00000012940,RCN2
cluster12694,0,1,0.005408736,0,ENSCPOP00000003048,POU3F4
cluster13003,0,1,0.032275173,0.085245902,ENSCPOP00000019145,MC3R
cluster10983,0,1,-0.010165462,-0.012195122,ENSCPOP00000004840,CHST14
cluster11307,0,1,-0.000115452,0.004484305,ENSCPOP00000012692,SYPL2
cluster12467,74.66845,0,-0.001658517,0.01512605,ENSCPOP00000004912,BOP1
cluster14253,0,1,0.090562446,0.12345679,ENSCPOP00000005401,0
cluster11221,48.331532,3.60E-12,0.012789777,0.007633588,ENSCPOP00000014394,RNF169
cluster13678,48.91078,2.68E-12,0.014157784,0.01946472,ENSCPOP00000004965,NOBOX
cluster10555,0,1,0.004009101,0,ENSCPOP00000011816,MTPN
cluster13182,6.468844,0.010978192,-0.006436347,0.003164557,ENSCPOP00000008327,TOR1A
cluster12879,0,1,0.002812678,0.003898635,ENSCPOP00000005964,USP27X
cluster12098,0,1,0.004054276,0.005050505,ENSCPOP00000015783,BCAS2
cluster14071,0,1,-0.01104251,-0.007633588,ENSCPOP00000012725,TMEM251
cluster14709,0,1,-0.010360714,-0.010615711,ENSCPOP00000016444,TIGD3
cluster11114,5.222092,0.022301706,0.003633863,0.006779661,ENSCPOP00000012731,BMT2
cluster13703,0,1,0.001917528,0,ENSCPOP00000010207,PAF1
cluster10649,0,1,0.018336121,0.010416667,ENSCPOP00000007325,FGF19
cluster10260,0,1,0.211547983,0.25,ENSCPOP00000002184,0
cluster13349,13.527442,0.0002351,0.028384677,0.05,ENSCPOP00000015372,CABP2
cluster11977,0,1,-0.043295074,-0.060747664,ENSCPOP00000015997,0
cluster12187,0.863754,0.352690289,-0.012147141,-0.011627907,ENSCPOP00000000623,ENPEP
cluster14744,11.740914,0.00061141,-0.012939566,-0.030368764,ENSCPOP00000008719,TGS1
cluster10429,25.421994,4.61E-07,-0.007417656,-0.018348624,ENSCPOP00000019302,MFAP4
cluster11912,0,1,-0.002044007,-0.002873563,ENSCPOP00000020098,PANX3
cluster13068,0,1,-0.008079169,0.00625,ENSCPOP00000017476,TMEM30B
cluster13516,13.27671,0.000268724,0.019826571,0.020833333,ENSCPOP00000013152,ANXA1
cluster15007,0,1,-0.017461274,-0.015503876,ENSCPOP00000014786,0
cluster13715,8.463096,0.003624244,-0.007498139,0.009876543,ENSCPOP00000021061,FAM43A
cluster12328,0,1,-0.005845812,0.017857143,ENSCPOP00000002238,SPATA45
cluster13485,32.88092,9.80E-09,0.047833472,0.065693431,ENSCPOP00000012250,RND2
cluster13587,31.880544,1.64E-08,0.027589562,0.045614035,ENSCPOP00000005918,ANKRA2
cluster11874,1.0128,0.314232979,0.023148554,0.062015504,ENSCPOP00000013004,NDUFB7
cluster11054,9.613252,0.001931783,0.041976598,0.040322581,ENSCPOP00000001040,POLR2G
cluster12508,33.409912,7.46E-09,0.016163944,0.022491349,ENSCPOP00000012273,PABPC1L
cluster11034,12.04613,0.000519,-0.003239074,-0.01369863,ENSCPOP00000011537,SYNPR
cluster13201,5.488456,0.019142441,0.0145343,0.027586207,ENSCPOP00000012978,CIDEB
cluster12413,34.340696,4.63E-09,0.027019914,0.023017903,ENSCPOP00000009442,KIN
cluster14274,6.22117,0.012623167,0.019540088,0.023391813,ENSCPOP00000013026,OSGEP
cluster13910,39.823848,2.78E-10,0.181017441,0.148648649,ENSCPOP00000016411,0
cluster14927,23.666506,1.15E-06,0.008006219,0.005952381,ENSCPOP00000003064,EPB42
cluster10876,96.190132,0,0.050579095,0.061046512,ENSCPOP00000012743,RNFT2
cluster11568,0,1,-0.010160355,-0.010893246,ENSCPOP00000015752,AMIGO3
cluster10989,0,1,-0.00263214,0,ENSCPOP00000014196,TTL
cluster10727,0,1,0.024034821,0.017857143,ENSCPOP00000005660,CFD
cluster12919,0,1,0.001108171,0,ENSCPOP00000005238,WNT4
cluster14167,103.557864,0,0.076261919,0.058823529,ENSCPOP00000008783,COX15
cluster13004,-0.016054,1,-0.011511939,-0.011235955,ENSCPOP00000015649,PRAF2
cluster12500,0.010734,0.917482804,-0.016247998,-0.002212389,ENSCPOP00000012785,SPNS3
cluster14116,73.593448,0,0.086570088,0.08353222,ENSCPOP00000019435,BPIFB3
cluster14050,50.338872,1.29E-12,0.092015524,0.089005236,ENSCPOP00000012400,CSRP3
cluster12030,0,1,-0.22859265,-0.207100592,ENSCPOP00000018607,P3H4
cluster12495,-0.035624,1,-0.01591724,0,ENSCPOP00000020334,FAM129B
cluster13311,96.725604,0,0.013646123,0.016556291,ENSCPOP00000006570,SLC5A4
cluster12384,0.017926,0.893491129,-0.000954729,0.012285012,ENSCPOP00000001340,Tacr1
cluster12841,0,1,-0.041763303,-0.03125,ENSCPOP00000020988,0
cluster14561,0.030632,0.861063919,0.001820552,0.004464286,ENSCPOP00000003451,CHMP4B
cluster11079,42.122794,8.57E-11,0.062350914,0.053097345,ENSCPOP00000007528,C2orf40
cluster12487,0,1,-0.005256831,0.003773585,ENSCPOP00000002590,GPN2
cluster11758,0,1,0.013239137,0,ENSCPOP00000000272,POLE3
cluster14740,93.477316,0,0.005035917,0,ENSCPOP00000011890,IGF2R
cluster15057,212.119946,0,0.079129981,0.076069731,ENSCPOP00000006062,VCAM1
cluster15048,0,1,0.005475315,0.039823009,ENSCPOP00000014891,PRSS38
