#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Rln3	Ptger2	5023855	5021684	10090.ENSMUSP00000051392	10090.ENSMUSP00000038483	0	0	0	0	0	0.058	0.900	0	0.901
Rln3	Taar1	5023855	5023564	10090.ENSMUSP00000051392	10090.ENSMUSP00000049527	0	0	0	0	0	0.058	0.900	0	0.901
Pmch	Gna14	5022680	5018301	10090.ENSMUSP00000044352	10090.ENSMUSP00000025602	0	0	0	0	0	0	0.900	0.059	0.901
Galr1	Cxcl13	5026041	5017947	10090.ENSMUSP00000066381	10090.ENSMUSP00000023840	0	0	0	0	0	0.058	0.900	0	0.901
Galr1	Rln3	5026041	5023855	10090.ENSMUSP00000066381	10090.ENSMUSP00000051392	0	0	0	0	0	0.058	0.900	0	0.901
Pmch	Cxcl13	5022680	5017947	10090.ENSMUSP00000044352	10090.ENSMUSP00000023840	0	0	0	0	0	0	0.900	0	0.900
Hsp90aa1	Sfi1	5029432	5028082	10090.ENSMUSP00000091921	10090.ENSMUSP00000080066	0	0	0	0	0	0	0.900	0.043	0.900
Cxcl13	Ppy	5017947	5016508	10090.ENSMUSP00000023840	10090.ENSMUSP00000017460	0	0	0	0	0	0	0.900	0	0.900
Hsp90aa1	Dctn6	5029432	5020674	10090.ENSMUSP00000091921	10090.ENSMUSP00000033913	0	0	0	0	0	0	0.900	0	0.900
Taar1	Ptger2	5023564	5021684	10090.ENSMUSP00000049527	10090.ENSMUSP00000038483	0	0	0	0	0	0	0.900	0	0.900
Rln3	Cxcl13	5023855	5017947	10090.ENSMUSP00000051392	10090.ENSMUSP00000023840	0	0	0	0	0	0	0.900	0	0.900
Polr2g	Hoxb1	5029793	5016675	10090.ENSMUSP00000093980	10090.ENSMUSP00000019117	0	0	0	0	0	0	0.900	0	0.900
Pmch	Pik3r2	5022680	5020808	10090.ENSMUSP00000044352	10090.ENSMUSP00000034296	0	0	0	0	0	0	0.900	0	0.900
Ins1	Dctn6	5023505	5020674	10090.ENSMUSP00000049095	10090.ENSMUSP00000033913	0	0	0	0	0	0	0.900	0	0.900
Qrfpr	Pik3r2	5029080	5020808	10090.ENSMUSP00000088768	10090.ENSMUSP00000034296	0	0	0	0	0	0	0.900	0	0.900
Ccl19	Cxcl13	5031192	5017947	10090.ENSMUSP00000100022	10090.ENSMUSP00000023840	0	0	0	0	0.188	0.158	0	0.862	0.897
Cox19	Coa5	5025483	5018763	10090.ENSMUSP00000062046	10090.ENSMUSP00000027286	0	0	0	0	0	0	0	0.881	0.881
Lep	Ins1	5026138	5023505	10090.ENSMUSP00000067046	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.842	0.842
Cd69	Gzmb	5020215	5016376	10090.ENSMUSP00000032259	10090.ENSMUSP00000015581	0	0	0	0	0.095	0.046	0	0.768	0.782
Ddx28	Rrp9	5025039	5021708	10090.ENSMUSP00000058950	10090.ENSMUSP00000038580	0	0	0	0	0.767	0	0	0.071	0.774
Cd69	Cd40	5020215	5016531	10090.ENSMUSP00000032259	10090.ENSMUSP00000017799	0	0	0	0	0.203	0	0	0.721	0.768
Ins1	Ppy	5023505	5016508	10090.ENSMUSP00000049095	10090.ENSMUSP00000017460	0	0	0	0	0.220	0	0	0.711	0.765
Hsp90aa1	Rem1	5029432	5015288	10090.ENSMUSP00000091921	10090.ENSMUSP00000000369	0	0	0	0	0	0.069	0	0.730	0.738
Cpsf3	Rrp9	5026242	5021708	10090.ENSMUSP00000068148	10090.ENSMUSP00000038580	0	0	0	0	0.163	0	0	0.686	0.726
Polr2g	Nudt2	5029793	5019594	10090.ENSMUSP00000093980	10090.ENSMUSP00000030154	0	0	0	0	0.118	0	0.650	0.169	0.721
Lep	Pmch	5026138	5022680	10090.ENSMUSP00000067046	10090.ENSMUSP00000044352	0	0	0	0	0	0	0	0.702	0.702
Cd24a	Cd69	5024866	5020215	10090.ENSMUSP00000057983	10090.ENSMUSP00000032259	0	0	0	0	0	0.069	0	0.687	0.696
Prr30	Fam166a	5025234	5019059	10090.ENSMUSP00000060206	10090.ENSMUSP00000028346	0	0	0	0	0	0	0	0.682	0.682
Rps2	Mrpl27	5029538	5018207	10090.ENSMUSP00000092502	10090.ENSMUSP00000025278	0	0	0	0	0.342	0.435	0	0.183	0.669
Cd69	Cd4	5020215	5017985	10090.ENSMUSP00000032259	10090.ENSMUSP00000024044	0	0	0	0	0.062	0.059	0	0.647	0.661
Uba2	Ube2n	5031090	5030333	10090.ENSMUSP00000099807	10090.ENSMUSP00000096932	0.043	0	0	0	0.109	0.225	0	0.548	0.661
Igf2	Ins1	5031491	5023505	10090.ENSMUSP00000101556	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.657	0.657
Prkci	Pik3r2	5031900	5020808	10090.ENSMUSP00000103884	10090.ENSMUSP00000034296	0	0	0	0	0.060	0.099	0.600	0.107	0.657
Smad6	Acvr1b	5021309	5015305	10090.ENSMUSP00000036285	10090.ENSMUSP00000000544	0	0	0	0	0	0.199	0	0.587	0.655
Bpifb1	Scgb3a1	5028153	5022498	10090.ENSMUSP00000080501	10090.ENSMUSP00000043325	0	0	0	0	0.350	0	0	0.490	0.654
Cd48	Ctss	5025785	5016391	10090.ENSMUSP00000064241	10090.ENSMUSP00000015667	0	0	0	0	0.584	0	0	0.173	0.641
Tpt1	Rps2	5032396	5029538	10090.ENSMUSP00000106519	10090.ENSMUSP00000092502	0	0	0	0	0.637	0	0	0	0.637
Cd24a	Rem1	5024866	5015288	10090.ENSMUSP00000057983	10090.ENSMUSP00000000369	0	0	0	0	0	0	0	0.637	0.637
Tia1	Gzmb	5029689	5016376	10090.ENSMUSP00000093425	10090.ENSMUSP00000015581	0	0	0	0	0.061	0	0	0.615	0.623
Nnat	Igf2	5032148	5031491	10090.ENSMUSP00000105152	10090.ENSMUSP00000101556	0	0	0	0	0.058	0	0	0.616	0.622
Cxcl13	Cd40	5017947	5016531	10090.ENSMUSP00000023840	10090.ENSMUSP00000017799	0	0	0	0	0.062	0	0	0.610	0.618
Cd40	Gzmb	5016531	5016376	10090.ENSMUSP00000017799	10090.ENSMUSP00000015581	0	0	0	0	0	0	0	0.613	0.613
Ccl19	Cd40	5031192	5016531	10090.ENSMUSP00000100022	10090.ENSMUSP00000017799	0	0	0	0	0.062	0	0	0.601	0.610
Lep	Cd40	5026138	5016531	10090.ENSMUSP00000067046	10090.ENSMUSP00000017799	0	0	0	0	0	0	0	0.599	0.599
Lep	Ppy	5026138	5016508	10090.ENSMUSP00000067046	10090.ENSMUSP00000017460	0	0	0	0	0	0	0	0.583	0.583
Arl5a	Rhebl1	5022249	5018010	10090.ENSMUSP00000041756	10090.ENSMUSP00000024518	0	0	0	0	0	0.121	0	0.540	0.579
Hsp90aa1	Hdac8	5029432	5028696	10090.ENSMUSP00000091921	10090.ENSMUSP00000085226	0	0	0	0	0.053	0.216	0	0.472	0.573
Igf2	Plagl2	5031491	5024532	10090.ENSMUSP00000101556	10090.ENSMUSP00000055709	0	0	0	0	0	0	0	0.560	0.561
Cox19	Cox5a	5025483	5015244	10090.ENSMUSP00000062046	10090.ENSMUSP00000000090	0	0	0	0	0.090	0	0	0.535	0.559
Igf2	Rem1	5031491	5015288	10090.ENSMUSP00000101556	10090.ENSMUSP00000000369	0	0	0	0	0	0	0	0.555	0.555
Igf2	Lep	5031491	5026138	10090.ENSMUSP00000101556	10090.ENSMUSP00000067046	0	0	0	0	0	0	0	0.554	0.554
Lep	Lcn2	5026138	5024262	10090.ENSMUSP00000067046	10090.ENSMUSP00000053962	0	0	0	0	0	0	0	0.549	0.549
Hsp90aa1	Cd9	5029432	5020283	10090.ENSMUSP00000091921	10090.ENSMUSP00000032492	0	0	0	0	0	0	0	0.546	0.546
Cd24a	Cd40	5024866	5016531	10090.ENSMUSP00000057983	10090.ENSMUSP00000017799	0	0	0	0	0	0	0	0.539	0.539
Lep	Apoa1	5026138	5020911	10090.ENSMUSP00000067046	10090.ENSMUSP00000034588	0	0	0	0	0	0	0	0.539	0.539
Cd4	Gzmb	5017985	5016376	10090.ENSMUSP00000024044	10090.ENSMUSP00000015581	0	0	0	0	0.062	0.136	0	0.471	0.534
Cyp8b1	Apoa1	5024114	5020911	10090.ENSMUSP00000052989	10090.ENSMUSP00000034588	0	0	0	0	0.231	0	0	0.418	0.533
Cd4	Cd40	5017985	5016531	10090.ENSMUSP00000024044	10090.ENSMUSP00000017799	0	0	0	0	0.061	0	0	0.520	0.530
Atox1	Cox19	5032024	5025483	10090.ENSMUSP00000104485	10090.ENSMUSP00000062046	0	0	0	0	0.112	0	0	0.492	0.529
Deaf1	Rrp9	5027980	5021708	10090.ENSMUSP00000079395	10090.ENSMUSP00000038580	0	0	0	0	0	0	0	0.528	0.528
Bmpr1a	Id2	5021237	5017060	10090.ENSMUSP00000035900	10090.ENSMUSP00000020974	0	0	0	0	0.051	0	0	0.522	0.527
Ccl19	Cd69	5031192	5020215	10090.ENSMUSP00000100022	10090.ENSMUSP00000032259	0	0	0	0	0	0	0	0.527	0.527
Ctdsp2	Matn3	5031358	5017031	10090.ENSMUSP00000100891	10090.ENSMUSP00000020899	0	0	0	0	0	0	0	0.524	0.524
Ins1	Fgf22	5023505	5016961	10090.ENSMUSP00000049095	10090.ENSMUSP00000020577	0	0	0	0	0	0	0	0.522	0.522
Cd24a	Cd9	5024866	5020283	10090.ENSMUSP00000057983	10090.ENSMUSP00000032492	0	0	0	0	0	0	0	0.521	0.521
Slirp	Ddx28	5034546	5025039	10090.ENSMUSP00000125341	10090.ENSMUSP00000058950	0	0	0	0	0.099	0.185	0	0.392	0.515
Cd8a	Gzmb	5026239	5016376	10090.ENSMUSP00000068123	10090.ENSMUSP00000015581	0	0	0	0	0.232	0	0	0.394	0.515
Igf2	Fgf22	5031491	5016961	10090.ENSMUSP00000101556	10090.ENSMUSP00000020577	0	0	0	0	0	0	0	0.504	0.505
Plcxd3	Tmem35	5024199	5022775	10090.ENSMUSP00000053553	10090.ENSMUSP00000044926	0	0	0	0	0.069	0	0	0.480	0.495
Igf2	Cd24a	5031491	5024866	10090.ENSMUSP00000101556	10090.ENSMUSP00000057983	0	0	0	0	0	0	0	0.488	0.488
Prdx1	Ftl1	5033716	5029444	10090.ENSMUSP00000114159	10090.ENSMUSP00000092002	0.056	0	0	0	0.180	0	0	0.390	0.487
Nnat	Lep	5032148	5026138	10090.ENSMUSP00000105152	10090.ENSMUSP00000067046	0	0	0	0	0	0	0	0.487	0.487
Lep	Cd69	5026138	5020215	10090.ENSMUSP00000067046	10090.ENSMUSP00000032259	0	0	0	0	0	0	0	0.482	0.482
Prdx1	Hsp90aa1	5033716	5029432	10090.ENSMUSP00000114159	10090.ENSMUSP00000091921	0.042	0	0	0	0.099	0	0	0.444	0.478
Actrt1	Dctn6	5025568	5020674	10090.ENSMUSP00000062570	10090.ENSMUSP00000033913	0	0	0	0	0	0.439	0	0.098	0.472
Ccl26	Cxcl13	5029410	5017947	10090.ENSMUSP00000091779	10090.ENSMUSP00000023840	0	0	0	0	0	0	0	0.471	0.471
Bcl2l14	Bmf	5032576	5028954	10090.ENSMUSP00000107591	10090.ENSMUSP00000087686	0	0	0	0	0	0.058	0	0.454	0.464
Rnd1	Rem1	5015648	5015288	10090.ENSMUSP00000003451	10090.ENSMUSP00000000369	0	0	0	0	0	0.197	0	0.361	0.464
Cd48	Cd69	5025785	5020215	10090.ENSMUSP00000064241	10090.ENSMUSP00000032259	0	0	0	0	0.178	0	0	0.372	0.462
Cd69	Cxcl13	5020215	5017947	10090.ENSMUSP00000032259	10090.ENSMUSP00000023840	0	0	0	0	0.094	0	0	0.428	0.459
Hmcn2	Ctdsp2	5032864	5031358	10090.ENSMUSP00000109160	10090.ENSMUSP00000100891	0	0	0	0	0.052	0.322	0	0.225	0.458
Lcn2	Ins1	5024262	5023505	10090.ENSMUSP00000053962	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.454	0.454
Bcl2l14	Tpt1	5032576	5032396	10090.ENSMUSP00000107591	10090.ENSMUSP00000106519	0	0	0	0	0	0.452	0	0	0.452
Lep	Rem1	5026138	5015288	10090.ENSMUSP00000067046	10090.ENSMUSP00000000369	0	0	0	0	0.056	0	0	0.444	0.452
Nnat	Asb4	5032148	5022019	10090.ENSMUSP00000105152	10090.ENSMUSP00000040331	0	0	0	0	0	0	0	0.447	0.447
Ube2n	Hsp90aa1	5030333	5029432	10090.ENSMUSP00000096932	10090.ENSMUSP00000091921	0	0	0	0	0.118	0.197	0	0.282	0.447
Cd8a	Cd69	5026239	5020215	10090.ENSMUSP00000068123	10090.ENSMUSP00000032259	0	0	0	0	0.096	0	0	0.412	0.446
Ccl26	Cpa3	5029410	5015473	10090.ENSMUSP00000091779	10090.ENSMUSP00000001921	0	0	0	0	0	0	0	0.444	0.444
Atox1	Tyr	5032024	5015778	10090.ENSMUSP00000104485	10090.ENSMUSP00000004770	0	0	0	0	0	0	0	0.439	0.439
Cd24a	Cd4	5024866	5017985	10090.ENSMUSP00000057983	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.439	0.439
Ins1	Apoa1	5023505	5020911	10090.ENSMUSP00000049095	10090.ENSMUSP00000034588	0	0	0	0	0.061	0	0	0.421	0.433
Clec4d	Ctss	5020210	5016391	10090.ENSMUSP00000032240	10090.ENSMUSP00000015667	0	0	0	0	0.362	0	0	0.145	0.432
Hsp90aa1	Ppic	5029432	5018252	10090.ENSMUSP00000091921	10090.ENSMUSP00000025419	0	0	0	0	0.115	0.227	0	0.228	0.426
Hsp90aa1	Hes1	5029432	5017745	10090.ENSMUSP00000091921	10090.ENSMUSP00000023171	0	0	0	0	0	0.418	0	0.047	0.421
Cd48	Cd40	5025785	5016531	10090.ENSMUSP00000064241	10090.ENSMUSP00000017799	0	0	0	0	0.062	0	0	0.407	0.420
Tpt1	Hsp90aa1	5032396	5029432	10090.ENSMUSP00000106519	10090.ENSMUSP00000091921	0	0	0	0	0.082	0	0	0.388	0.414
Smad6	Id2	5021309	5017060	10090.ENSMUSP00000036285	10090.ENSMUSP00000020974	0	0	0	0	0.052	0	0	0.404	0.411
Cd9	Cd69	5020283	5020215	10090.ENSMUSP00000032492	10090.ENSMUSP00000032259	0	0	0	0	0	0.048	0	0.398	0.402
